column,abs_mean,abs_std,abs_max,rel_mean_%,rel_std_%,rel_max_%
gePosition_m_X,-0.000187285,8.90093e-05,0.000436169,-2.9331e-09,1.39472e-09,6.83341e-09
gePosition_m_Y,2.42246e-08,4.66344e-08,1.83339e-07,-5.24156e-07,2.35253e-06,2.49101e-05
gePosition_m_Z,1.14301e-15,1.1883e-15,4.23656e-15,,,
feVelocity_m_s_X,1.41453e-16,1.18171e-16,4.34605e-16,,,
feVelocity_m_s_Y,2.97108e-08,9.24517e-09,5.62194e-08,0.00182863,0.0200006,0.334444
feVelocity_m_s_Z,1.03752e-05,1.02318e-05,3.38328e-05,4.85829e-06,3.87934e-06,1.1559e-05
altitudeMsl_m,-0.000233126,8.8746e-05,0.000473471,-3.38013e-06,2.10274e-06,9.95829e-06
longitude_rad,3.80617e-15,7.32205e-15,2.87922e-14,-4.17751e-07,1.85224e-06,4.78997e-06
latitude_rad,1.80235e-22,1.87408e-22,6.68206e-22,,,
localGravity_m_s2,1.31359e-06,8.68978e-07,2.81619e-06,1.34133e-05,8.86948e-06,2.8738e-05
eulerAngle_rad_Yaw,8.71613e-19,1.00746e-18,3.03278e-18,,,
eulerAngle_rad_Pitch,2.23447e-16,1.04598e-18,2.25569e-16,,,
eulerAngle_rad_Roll,3.1684e-10,1.83792e-10,6.46159e-10,2.90024e-05,2.17428e-07,2.95233e-05
bodyAngularRateWrtEi_rad_s_Roll,2.00814e-11,1.26756e-12,2.4141e-11,,,
bodyAngularRateWrtEi_rad_s_Pitch,1.1722e-19,4.55473e-20,1.94833e-19,,,
bodyAngularRateWrtEi_rad_s_Yaw,1.19218e-19,7.74492e-20,2.43681e-19,,,
altitudeRateWrtMsl_m_s,-1.03752e-05,1.02318e-05,3.38328e-05,-4.85829e-06,3.87934e-06,1.1559e-05
speedOfSound_m_s,-0.00224304,0.00245637,0.0084392,-0.000727131,0.000789615,0.00273908
airDensity_kg_m3,-0.000422311,0.00022407,0.000807579,-0.0761959,0.0384363,0.134942
ambientPressure_Pa,-45.8249,25.5975,93.2628,-0.119851,0.062433,0.214797
ambientTemperature_K,-0.000191053,0.00026093,0.000762738,-7.76941e-05,0.00010437,0.000301772
aero_bodyForce_N_X,0,0,0,,,
aero_bodyForce_N_Y,0,0,0,,,
aero_bodyForce_N_Z,0,0,0,,,
aero_bodyMoment_Nm_L,0,0,0,,,
aero_bodyMoment_Nm_M,0,0,0,,,
aero_bodyMoment_Nm_N,0,0,0,,,
mach,3.1433e-06,5.10105e-06,2.23754e-05,0.000732944,0.00079022,0.00274413
dynamicPressure_Pa,-7.01532,7.81634,28.8737,-0.0762104,0.0384967,0.134935
trueAirspeed_m_s,0.000137033,8.32317e-05,0.000287206,9.14232e-05,3.87932e-06,9.81238e-05
