column,abs_mean,abs_std,abs_max,rel_mean_%,rel_std_%,rel_max_%
gePosition_m_X,-0.000187285,8.90093e-05,0.000436169,-2.9331e-09,1.39472e-09,6.83341e-09
gePosition_m_Y,2.40853e-08,4.65779e-08,1.8307e-07,-1.71328e-06,1.37449e-05,0.000225743
gePosition_m_Z,-4.6937e-10,4.26002e-10,1.41411e-09,,,
feVelocity_m_s_X,-4.74017e-11,2.79698e-11,9.21605e-11,,,
feVelocity_m_s_Y,2.97059e-08,9.24529e-09,5.62147e-08,0.00182862,0.0200008,0.334446
feVelocity_m_s_Z,1.03752e-05,1.02318e-05,3.38328e-05,4.85828e-06,3.87934e-06,1.1559e-05
altitudeMsl_m,-0.000233126,8.8746e-05,0.000473471,-3.38013e-06,2.10274e-06,9.95829e-06
longitude_rad,3.78435e-15,7.3132e-15,2.875e-14,-7.62377e-07,3.06771e-06,2.98179e-05
latitude_rad,-7.40107e-17,6.7184e-17,2.23039e-16,,,
localGravity_m_s2,1.31359e-06,8.68978e-07,2.81619e-06,1.34133e-05,8.86948e-06,2.8738e-05
eulerAngle_rad_Yaw,1.09881e-07,1.1587e-07,3.18092e-07,9.43789e-07,9.88798e-07,2.43591e-06
eulerAngle_rad_Pitch,9.56248e-09,1.74138e-07,3.99543e-07,-5.65524e-05,0.00117589,0.0202129
eulerAngle_rad_Roll,1.33483e-07,7.81418e-07,1.74592e-06,0.000277927,0.00163367,0.0231104
bodyAngularRateWrtEi_rad_s_Roll,-6.65839e-08,4.26943e-07,8.63212e-07,-0.000599016,0.0125977,0.188821
bodyAngularRateWrtEi_rad_s_Pitch,8.69406e-08,5.00482e-07,1.12225e-06,0.000145692,0.00154243,0.0168802
bodyAngularRateWrtEi_rad_s_Yaw,-8.79848e-09,1.4456e-07,3.49378e-07,-1.92822e-06,2.68674e-05,6.44086e-05
altitudeRateWrtMsl_m_s,-1.03752e-05,1.02318e-05,3.38328e-05,-4.85828e-06,3.87934e-06,1.1559e-05
speedOfSound_m_s,-0.00224304,0.00245637,0.0084392,-0.000727131,0.000789615,0.00273908
airDensity_kg_m3,-0.000422311,0.00022407,0.000807579,-0.0761959,0.0384363,0.134942
ambientPressure_Pa,-45.8574,25.6,93.3062,-0.119937,0.062433,0.214883
ambientTemperature_K,-0.000191053,0.00026093,0.000762738,-7.76941e-05,0.00010437,0.000301772
aero_bodyForce_N_X,0,0,0,,,
aero_bodyForce_N_Y,0,0,0,,,
aero_bodyForce_N_Z,0,0,0,,,
aero_bodyMoment_Nm_L,0,0,0,,,
aero_bodyMoment_Nm_M,0,0,0,,,
aero_bodyMoment_Nm_N,0,0,0,,,
mach,1.44985e-06,4.95393e-06,1.92547e-05,0.000371365,0.000786101,0.00235906
dynamicPressure_Pa,-7.08773,7.87547,29.0685,-0.0770187,0.0384847,0.135713
trueAirspeed_m_s,-0.000518351,0.00029428,0.00102737,-0.000356546,1.61825e-05,0.000385965
